id,name,list_price,categ_id
26099,Set 3 đôi tất,89000,4728
26100,Set 3 đôi tất,89000,4728
36822,Sản phẩm test 291117,1,4741
12098,Sách ai ở sau lưng bạn thế?,29000,4645
25109,AGATSUMA- Trống lắc tay Anpanman Katakata,250000,4593
11594,Kem duong da toan than Aloins Cream 185g,378000,4473
31162,IWAMOTO- Bánh ăn dặm vị trứng 7 tháng 16gx5 gói,40000,4553
35182,MARUMIYA- Cà ri thịt lợn và ngô 160g,40000,4741
35183,MARUMIYA- Cà ri thịt lợn và rau vị ngọt 120g,40000,4741
31121,MORINAGA- Kẹo Hi-chew vị táo xanh 12 viên,29000,4326
35184,MARUZEN- Cháo gà 250g,55000,4293
35185,MARUZEN- Cháo cua 250g,55000,4293
17810,GLICO Sữa số 9,500000,1528
31127,MORINAGA- Bánh quy Marie 21 chiếc,60000,4328
29121,Voucher 2tr tặng khách,1,1622
11717,ARAU- Sữa rửa mặt 120g,145000,4454
19323,Bánh Matcha mouse,28000,4336
19317,Bánh Mouse anh đào,32000,4336
19321,Bánh Mouse dâu tây,28000,4336
19316,Bánh Opera,38000,4336
19623,Bánh Panna cotta Dâu tây và anh đào giảm giá 50%,15000,4336
19319,Bánh Tiramisu Cacao,30000,4336
16093,AGF- Bột trà xanh nguyên chất 48g,160000,4305
17801,GENKI-Bỉm XL38-quan,310000,1804
30980,BEFCO- Bánh gạo Anpanman 3 loại (42 cái),110000,4553
19877,MORINAGA- Sữa bầu vị cà phê,225000,1528
35187,YAMASA- Dầu mè 330ml,78000,4741
36823,EHON-Tay xinh đâu nhỉ,24000,1821
12049,Sách Chuyện những chiếc răng,29000,4645
12101,Sách những người bạn ở trên hoang mạc,29000,4645
12104,Sách EHON-Bull và Kana,29000,4645
17796,MORINAGA- Sữa bầu vị trà sữa,225000,1528
12096,Sách Asae và em gái bé nhỏ,29000,4645
21698,Voucher Sakura 500K,1,1622
35188,YAMASA- Nước sốt Tenpura 330ml,78000,4741
16742,Bánh Dorayaki nhân dâu 12 cái,180000,4331
16739,Bánh Dorayaki nhân dâu 8 cái,95000,4331
19621,Bánh Tiramisu Cacao giảm giá 50%,15000,4336
13329,ORIHIRO- Kẹo thạch vị nho ( 1 túi 6 cái 20g),48000,4331
18073,DR.Select- Tinh chất nhau thai 300000 Placenta drink 30 gói×15g,2300000,4700
19320,Bánh Tiramisu Trà xanh,30000,4336
19622,Bánh Tiramisu Trà xanh giảm giá 50%,15000,4336
28551,BOURBON PUCHI- Bánh qui có tôm Ebisen,28000,4327
28562,Voucher 1tr tặng khách,1,1622
37825,Giấy dán tường BA6259,78000,4428
12088,Sách EHON-Tay xinh đâu nhỉ,19000,4645
37826,B.papa -  Batula,580399.15,4428
37827,B.papa Hộp giáng sinh,9911.19,4428
37828,B.papa Giấy lót lụa,1189.34,4428
12092,Sách Bé trứng,29000,4645
36824,GOOD SKIN TOMORROW- Tinh chất dưỡng ẩm Moisture Concentrate Drop,810000,4508
29324,ROYAL- Đàn Piano mini,590000,4596
20398,OFUKURO - Nước cốt rau củ,110000,4554
23323,Sách chiếc ghế tốt bụng,37000,4645
13591,BULLDOG- Nước sốt Tonkatsu 500ml,116000,4312
17808,MORINAGA Sữa số 0,530000,1528
18812,PARUKINZOKU- Dụng cụ xay hạt tiêu (xanh) 70ml C-893,195000,4416
23320,Sách Decibella học cách nói vừa nghe,49000,4645
16059,CHUCHU- Thấm sữa 130 miếng,320000,4588
24180,YAMAMOTO KANPO- Trà thảo mộc giảm mỡ 10g x 24 gói,189000,4306
35192,YOUKI- Bột nêm vị gà 70g,90000,4741
18156,AJINOMOTO- Mì chính 400g,270000,4314
19384,ITOU - Bánh quy Cookies (hộp 48 cái),137000,4328
29393,TOYROYAL- Xúc xắc chuông hello kitty,169000,4593
18813,PARUKINZOKU- Dụng cụ xay hạt tiêu (trắng) 70ml C-894,195000,4416
30715,Mã Voucher 100K tặng khách hội trợ,1,1622
35190,YOUKI- Bột nêm cốt xương heo 130g,160000,4741
35191,YOUKI- Bột nêm cốt xươnggà và heo 300g,209000,4741
12118,Sách ăn dặm kiểu nhật,125000,4674
37812,UNIQLO - Áo len tăm cao cổ nữ màu 08 Dark Gray size L,360000,4709
37794,UNIQLO- Áo khoác lông vũ bé gái màu 69 Navy Size 140,790000,4709
37795,UNIQLO- Áo khoác lông vũ bé gái màu 69 Navy Size 150,790000,4709
14132,CHEMICAL-Thuốc diệt gián tận gốc 12 hộp,199000,4387
36825,Rượu Iichiko 720ml - Ko sử dụng,779000,4337
28729,Bánh ngọt 1,30000,4741
28730,Bánh ngọt 2,50000,4741
35196,RIKEN- Bột dashi cá khô 5gx7 gói,59000,4741
16094,ITOEN- Trà gạo lứt 200g,130000,4305
35199,TARAMI- Thạch dứa và dừa 160g,35000,4741
13384,AGF- Bột trà xanh Blendy (7 gói ),80000,4310
35198,TARAMI- Thạch cam 230g,45000,4741
15266,KAO- Thuốc nhuộm tóc Liese Prettia màu Rose Tea Brown,250000,4492
15294,Thực phẩm chức năng bà bầu 60 viên,345000,4585
36826,KAO- Sữa tắm tạo bọt Biore-u 480ml,215000,4481
18876,KATAOKA- Bột matcha trà sữa Tsujitoshi  (14g x 5 gói),95000,4310
23692,KATO- Bột chiên xù 230g,37000,4320
31043,KABAYA- Kẹo dẻo vị hoa quả và sữa chua 46g,35000,4326
31044,KRACIE-  Kẹo dẻo Chupa Chups vị trái cây 80g,55000,4326
13436,"KEWPIE- Cháo gan gà, thịt bò, khoai tây (12 tháng) 120g",60000,4554
19039,COCACOLA- Lon 350ml,35000,4342
16055,CHUCHU- Núm ti silicon tổng hợp cho bình cổ rộng ( hộp 1 cái),105000,4559
18158,NISSIN- Mỳ Udon Apaman cho trẻ em (22g x 4),69000,4285
31068,NOBEL- Kẹo dẻo vị hoa quả mix 80g,55000,4326
31070,NOBEL- Kẹo ngậm vị mật ong 110g,55000,4326
17973,NISSUI- Cặp đôi ruốc gà 60g x 2,116000,4301
18154,NISUI- Cặp ruốc cá hồi 104g,120000,4298
28983,Bánh TT pho mai mặn & nho khô - 125gr,55000,4336
11227,TAMPEI- Xịt chăm sóc và chống sâu răng vị dâu cho bé 25g,165000,4576
13671,QBB- Pho mai óc chó,81000,4347
28902,APIS- Xà phòng rửa mặt dưỡng da Pure Baby 90g,148000,4508
35207,KASUGAI- Kẹo quế 128g,50000,4326
35206,GINBIS- Bánh quy hình động vật vị socola 5 túi,105000,4557
19334,QBB-Phô mai trà xanh vuông,92000,4347
28565,Voucher 100K tặng khách,1,1622
27284,APIS- Kem dưỡng da tay Curemoist 40g,450000,4508
15206,Thuc pham chuc nang ba bau 60 vien,345000,4741
23326,QBB- Phô mai vị bơ và kiwi,81000,4347
23725,TATEISHI HARUMIDO- Thuốc xịt phun sương chống côn trùng mùa hè 300ml,195000,4390
19336,"QBB- Phô mai vị dứa, cà rốt (90g)",81000,4347
18475,TATEISHI HARUMIDO- Xịt chống côn trùng hương cam 200ml,155000,4578
18854,QBB- Pho mai hạnh nhân cho bé 15gx4,48000,4347
19078,SAGARIA- Nước soda chanh 500g,39000,4342
19041,SAGARIA- Nước soda nho 500g,39000,4342
13604,HAKUBAKU- Mỳ Udon lúa mạch 270g,55000,4284
36838,HAKUBAKU- Mỳ cho trẻ từ 7 tháng tuổi 100g,69000,4285
36839,HAKUBAKU- Mỳ cho trẻ từ 9 tháng tuổi 100g,69000,4285
16776,MARUKAWA- Kẹo cao su vị hoa quả,145000,4325
35210,TATSUMIYA- Bắn nắm đấm,25000,4741
35214,TATSUMIYA- Bóng bàn mini,22000,4741
35209,TATSUMIYA- Rubic 6 mặt,22000,4741
35215,TATSUMIYA- Sét nhẫn bông tai công chúa,21000,4741
35212,TATSUMIYA- Trò chơi vớt cá,22000,4741
35208,IWATSUKA- Bánh gạo Kozakana 22 cái,70000,4332
